"feature_name","feature_weight","finding_name"
"Intercept",-2.86630383932073,"fracture"
"modality_MR",-0.51120366042586,"fracture"
"fracture_regex",1.07792087442825,"fracture"
"fracture_negex",-1.00986595590922,"fracture"
"BODY_abdomil",0.343305017152767,"fracture"
"BODY_ag",0.125979886819807,"fracture"
"BODY_aneurysm_dilat",0.0019625084799595,"fracture"
"BODY_anterior_height",0.230925483464564,"fracture"
"BODY_anterior_wedg",1.15604711027654,"fracture"
"BODY_appar",0.766504927606478,"fracture"
"BODY_calcifi",0.137725777384024,"fracture"
"BODY_chronic",0.177261424374054,"fracture"
"BODY_collaps",0.754178388382696,"fracture"
"BODY_compress_fractur",1.06679739648436,"fracture"
"BODY_consider",0.0821225275289866,"fracture"
"BODY_conu",-0.224196267109786,"fracture"
"BODY_cortex",0.201670245469855,"fracture"
"BODY_crowd",0.978425599869495,"fracture"
"BODY_deform",0.743359959439308,"fracture"
"BODY_deminer_no",0.823343001125828,"fracture"
"BODY_dens",0.440227816851708,"fracture"
"BODY_depress",0.510405073945351,"fracture"
"BODY_diffus_deminer",0.554427945287853,"fracture"
"BODY_diffus_deminer_no",0.792956170462057,"fracture"
"BODY_entir",-0.026744871421186,"fracture"
"BODY_facet_diseas",0.700021409071826,"fracture"
"BODY_foramen",-0.043345453419076,"fracture"
"BODY_foramen_encroach",0.460624292508078,"fracture"
"BODY_indetermin",0.746382063833027,"fracture"
"BODY_indetermin_ag",0.0317162733380544,"fracture"
"BODY_intervertebr_disc",-0.0246048304229917,"fracture"
"BODY_l1_vertebr",0.19861884112072,"fracture"
"BODY_l1_vertebr_bodi",0.298257005140178,"fracture"
"BODY_later_recess_bilater",0.50663625893343,"fracture"
"BODY_left",-0.0990882849092478,"fracture"
"BODY_loss",0.0153524237716341,"fracture"
"BODY_mild_lower",0.381268542893582,"fracture"
"BODY_multiplar_multisequ_mr",0.0603518837963304,"fracture"
"BODY_no",-0.374870521572853,"fracture"
"BODY_no_compress_fractur",-0.106167785143029,"fracture"
"BODY_recess_bilater",0.46786742201486,"fracture"
"BODY_s1",-0.00792722447255529,"fracture"
"BODY_slightli_indent",0.348951988910095,"fracture"
"BODY_small_bowel",0.549897120044079,"fracture"
"BODY_spot",0.132542191313228,"fracture"
"BODY_stone",0.756081118346014,"fracture"
"BODY_superior",0.266876147904671,"fracture"
"BODY_superior_endplat",0.370312649869168,"fracture"
"BODY_t11_vertebr",0.156701577849913,"fracture"
"BODY_t11_vertebr_bodi",0.153741941532502,"fracture"
"BODY_t12_vertebr_bodi",0.352024868340843,"fracture"
"BODY_vacuum",0.0266101109137844,"fracture"
"BODY_wedg",2.16503889812583,"fracture"
"IMP_16_2015",0.741692994319141,"fracture"
"IMP_2014_time_11",0.861680836722568,"fracture"
"IMP_53",0.0966194939026943,"fracture"
"IMP_acut_abnorm",0.625986722566101,"fracture"
"IMP_ag",0.855293187132632,"fracture"
"IMP_anterior",0.121834946737392,"fracture"
"IMP_anterior_height",2.73453571661503,"fracture"
"IMP_atherosclerosi",0.114051910002493,"fracture"
"IMP_bodi_compress",0.513754433409832,"fracture"
"IMP_bone_scan",1.53136465851273,"fracture"
"IMP_compress",0.587895797480272,"fracture"
"IMP_compress_deform",0.228292394121391,"fracture"
"IMP_compress_fractur",1.31325311047695,"fracture"
"IMP_definit_acut",0.630137701012836,"fracture"
"IMP_fractur",0.12317661795966,"fracture"
"IMP_indetermin",0.0411917621726591,"fracture"
"IMP_l1",0.0483313122189325,"fracture"
"IMP_l1_vertebr",0.193934613734051,"fracture"
"IMP_mild_anterior",0.157332269456833,"fracture"
"IMP_mild_scoliosi",0.110642493524093,"fracture"
"IMP_mm_retrolisthesi",0.0911471577014267,"fracture"
"IMP_no_compress",-0.0163450082169981,"fracture"
"IMP_no_compress_fractur",-0.318320426653129,"fracture"
"IMP_no_definit_acut",0.614930231802039,"fracture"
"IMP_previou",0.618935132109976,"fracture"
"IMP_previou_studi",0.338315257772799,"fracture"
"IMP_studi_2",0.0553681938547095,"fracture"
"IMP_superior",0.606774757683608,"fracture"
"IMP_superior_endplat",0.805479825055906,"fracture"
"IMP_t12_vertebr",0.335648277869164,"fracture"
"IMP_t12_vertebr_bodi",0.323535381982603,"fracture"
"IMP_thoracolumbar",0.00299857708435959,"fracture"
"IMP_vertebr_bodi_compress",0.496000189194021,"fracture"
"cutoff",0.206551649393619,"fracture"
